iter	Passed	Remaining
619	8771	5376
620	8783	5360
621	8796	5345
622	8811	5332
623	8828	5320
624	8845	5307
625	8859	5293
626	8876	5280
627	8898	5271
628	8947	5277
629	8972	5269
630	8996	5261
631	9021	5253
632	9044	5243
633	9061	5231
634	9075	5216
635	9089	5201
636	9104	5188
637	9121	5175
638	9134	5160
639	9146	5144
640	9158	5129
641	9169	5113
642	9182	5098
643	9196	5083
644	9212	5070
645	9223	5054
646	9234	5038
647	9246	5022
648	9257	5006
649	9268	4990
650	9282	4976
651	9296	4961
652	9318	4951
653	9340	4941
654	9369	4935
655	9391	4924
656	9426	4921
657	9464	4919
658	9479	4905
659	9503	4895
660	9530	4888
661	9558	4880
662	9575	4867
663	9596	4856
664	9618	4845
665	9757	4893
666	9777	4881
667	9800	4871
668	9834	4865
669	9864	4858
670	9886	4847
671	9921	4842
672	9945	4832
673	10031	4851
674	10050	4839
675	10072	4827
676	10146	4841
677	10170	4830
678	10190	4817
679	10206	4802
680	10232	4793
681	10267	4787
682	10287	4774
683	10326	4770
684	10348	4759
685	10367	4745
686	10383	4730
687	10396	4714
688	10408	4698
689	10422	4682
690	10436	4666
691	10447	4649
692	10461	4634
693	10477	4619
694	10488	4602
695	10504	4588
696	10517	4572
697	10542	4561
698	10561	4548
699	10590	4538
700	10608	4525
701	10650	4521
702	10673	4509
703	10695	4496
704	10709	4481
705	10725	4466
706	10748	4454
707	10769	4441
708	10784	4426
709	10802	4412
710	10826	4400
711	10862	4393
712	10890	4383
713	10930	4378
714	10980	4376
715	11011	4367
716	11036	4356
717	11095	4357
718	11137	4352
719	11158	4339
720	11205	4335
721	11245	4329
722	11264	4315
723	11298	4307
724	11322	4294
725	11342	4280
726	11371	4270
727	11387	4254
728	11408	4240
729	11425	4225
730	11441	4210
731	11457	4194
732	11475	4179
733	11487	4163
734	11507	4149
735	11534	4137
736	11556	4124
737	11576	4109
738	11593	4094
739	11609	4078
740	11623	4062
741	11647	4050
742	11669	4036
743	11686	4021
744	11701	4005
745	11721	3991
746	11738	3975
747	11773	3966
748	11819	3960
749	11850	3950
750	11869	3935
751	11891	3921
752	11906	3905
753	11930	3892
754	11948	3877
755	11981	3866
756	12000	3852
757	12031	3841
758	12051	3826
759	12083	3815
760	12113	3804
761	12165	3799
762	12217	3794
763	12245	3782
764	12263	3767
765	12283	3752
766	12301	3736
767	12321	3722
768	12345	3708
769	12361	3692
770	12384	3678
771	12406	3664
772	12435	3651
773	12451	3635
774	12469	3620
775	12482	3603
776	12496	3586
777	12511	3570
778	12525	3553
779	12537	3536
780	12552	3519
781	12566	3503
782	12577	3485
783	12597	3470
784	12621	3456
785	12640	3441
786	12656	3425
787	12673	3409
788	12689	3393
789	12703	3376
790	12717	3360
791	12728	3342
792	12741	3325
793	12753	3308
794	12770	3292
795	12789	3277
796	12807	3262
797	12823	3246
798	12840	3230
799	12854	3213
800	12872	3198
801	12887	3181
802	12900	3164
803	12914	3148
804	12929	3132
805	12941	3114
806	12952	3097
807	12965	3080
808	12979	3064
809	12993	3047
810	13008	3031
811	13027	3016
812	13043	3000
813	13060	2984
814	13079	2968
815	13097	2953
816	13111	2936
817	13128	2920
818	13142	2904
819	13155	2887
820	13170	2871
821	13183	2854
822	13198	2838
823	13213	2822
824	13226	2805
825	13244	2790
826	13256	2773
827	13272	2757
828	13286	2740
829	13302	2724
830	13322	2709
831	13346	2694
832	13366	2679
833	13390	2665
834	13409	2649
835	13432	2635
836	13447	2618
837	13469	2603
838	13488	2588
839	13513	2573
840	13538	2559
841	13561	2544
842	13582	2529
843	13604	2514
844	13630	2500
845	13651	2485
846	13666	2468
847	13687	2453
848	13707	2437
849	13724	2421
850	13739	2405
851	13752	2388
852	13769	2372
853	13789	2357
854	13807	2341
855	13830	2326
856	13859	2312
857	13880	2297
858	13905	2282
859	13943	2269
860	13971	2255
861	13997	2240
862	14027	2226
863	14058	2212
864	14084	2198
865	14104	2182
866	14123	2166
867	14138	2150
868	14153	2133
869	14168	2117
870	14182	2100
871	14193	2083
872	14204	2066
873	14217	2049
874	14239	2034
875	14265	2019
876	14279	2002
877	14293	1986
878	14308	1969
879	14321	1952
880	14334	1936
881	14349	1919
882	14362	1903
883	14375	1886
884	14386	1869
885	14398	1852
886	14410	1835
887	14423	1819
888	14437	1802
889	14449	1785
890	14462	1769
891	14478	1752
892	14491	1736
893	14506	1720
894	14519	1703
895	14530	1686
896	14543	1670
897	14561	1654
898	14575	1637
899	14589	1621
900	14601	1604
901	14613	1587
902	14625	1571
903	14638	1554
904	14652	1538
905	14672	1522
906	14685	1505
907	14701	1489
908	14715	1473
909	14728	1456
910	14740	1440
911	14753	1423
912	14767	1407
913	14780	1390
914	14792	1374
915	14804	1357
916	14815	1340
917	14827	1324
918	14840	1308
919	14855	1291
920	14868	1275
921	14880	1258
922	14895	1242
923	14910	1226
924	14924	1210
925	14937	1193
926	14947	1177
927	14959	1160
928	14972	1144
929	14985	1127
930	15001	1111
931	15015	1095
932	15029	1079
933	15044	1063
934	15057	1046
935	15071	1030
936	15083	1014
937	15096	997
938	15107	981
939	15119	965
940	15133	948
941	15145	932
942	15156	916
943	15168	899
944	15180	883
945	15192	867
946	15203	850
947	15214	834
948	15226	818
949	15240	802
950	15255	786
951	15267	769
952	15278	753
953	15296	737
954	15319	721
955	15340	706
956	15355	689
957	15370	673
958	15382	657
959	15394	641
960	15407	625
961	15424	609
962	15438	593
963	15486	578
964	15536	563
965	15573	548
966	15606	532
967	15631	516
968	15692	502
969	15742	486
970	15804	472
971	15884	457
972	15998	443
973	16015	427
974	16030	411
975	16045	394
976	16063	378
977	16076	361
978	16088	345
979	16105	328
980	16122	312
981	16137	295
982	16151	279
983	16163	262
984	16177	246
985	16193	229
986	16232	213
987	16256	197
988	16274	181
989	16285	164
990	16300	148
991	16314	131
992	16328	115
993	16340	98
994	16353	82
995	16372	65
996	16388	49
997	16404	32
998	16419	16
999	16433	0
